title,company,description,location,date_posted,extracted_skills
Software Engineer Intern,Branch International,"Branch Overview Branch is a leading AI-powered lending fintech with 50M downloads across India and Africa. We use alternative data and machine learning to expand financial access for millions of people traditionally excluded from the formal financial system. Founded by the former CEO of Kiva.org and backed by leading investors including Andreessen Horowitz, Visa, and the IFC, Branch combines mission-driven impact with world-class technology and scale. In India, Branch operates as a regulated di…",India,2026-08-04T19:40:05Z,['machine learning']
Software Engineering Intern,Coderwing,Software Engineering Intern Type Internship Location Indore Madhya Pradesh CoderWing is looking for enthusiastic and motivated Software Engineering Interns who are passionate about programming and eager to build realworld software development skills This internship is designed for students recent graduates and freshers who want handson experience by working on live projects under the guidance of experienced mentors This is an excellent opportunity to strengthen your technical skills collaborate…,"Indore, Madhya Pradesh",2026-08-18T07:15:47Z,[]
Software Engineering Internship,Qualcomm,Qualcomm is hiring for the role of Software Engineering Intern Requirements Masters Computer Science Engineering Communication Engineering ECE Development of realtime embedded software and device drivers Knowledge of Mobile SW development for Windows Mobile Android or Linux Good understanding of OS concepts Data structures etc Knowledge of C C and object oriented design Knowledge of Wireless network standards such as CDMA GSM UMTS LTE Knowledge of Linux UNIX Linux Drivers Linux Kernel Developme…,"Chennai, Tamil Nadu",2026-08-25T07:17:27Z,"['c', 'linux', 'data structures']"
Software Engineer Intern,Coinbase India Services,"Job Description: Coinbase is seeking software engineer interns to join our team to build out the next generation of crypto-forward products and features. You will solve unique, large scale, highly complex technical problems, bridging the constraints posed by web-scale applications and blockchain technology. You will help build the next generation of systems to make cryptocurrency accessible to everyone across the globe, operating real-time applications with high frequency, low latency updates, …",India,2026-07-16T07:22:54Z,[]
Software Engineer- Intern,Blueberry Digital Labs,"Blueberry Digital Labs is seeking a highly motivated Software Engineer Intern to join our E-commerce Development Team. This is a critical role where you will play a key part in designing and developing an amazing website. You'll be part of an extremely talented, creative, and focused group, gaining invaluable hands-on experience by taking on responsibility for the development, testing, and deployment of code . What You Will Do: Key Responsibilities Work on the E-commerce Development Team to des…","Hyderabad, Telangana",2026-07-19T07:23:53Z,[]
Software Engineer Intern,KutukamAI,Company Description Kutukam AI is an Information Technology and Artificial Intelligence firm focused on turning complex technology into practical tools for business growth The company designs accessible scalable AI and IT solutions for organizations ranging from small startups to large global enterprises Kutukam AI helps businesses integrate AI into daily operations to automate workflows extract datadriven insights and build resilient software architectures tailored to each industry The team em…,India,2026-08-25T07:17:26Z,[]
Software Engineer Intern,Genrobotics,Brief Support the software development team in the design development testing and maintenance of software applications and system features Assist in coding debugging documentation and implementation of software solutions while gaining handson experience in realtime projects and modern technologies Collaborate with crossfunctional teams to ensure timely delivery of highquality software solutions aligned with business and project requirements Job Summary The Software Engineer Intern will work clo…,"Thiruvananthapuram, Kerala",2026-08-18T07:15:47Z,[]
Software Engineering Intern,EdZola,We are hiring our next batch of fulltime Software Engineering Interns at EdZola for our Coimbatore office This hiring cycle feels particularly important to me Over the last few years I have had the opportunity to see EdZola grow from a small team taking on individual technology projects into an organisation building systems platforms and AIenabled products for nonprofits and missiondriven organisations More importantly I have witnessed the growth of people within EdZola I have seen young engine…,"Coimbatore, Tamil Nadu",2026-08-18T07:15:48Z,[]
Software Engineering INTERN,Microsoft Corporation,"Overview Come build community, explore your passions and do your best work at Microsoft with thousands of University interns from every corner of the world. This opportunity will allow you to bring your aspirations, talent, potential-and excitement for the journey ahead. As a Software Engineering Intern, you will work with teammates to solve problems and build innovative software solutions. You will apply your passion for customers and product quality as you provide technical guidance to Techni…",India,2026-06-25T10:29:16Z,[]
Software Engineer Intern,Indian AI Research Organisation IAIRO,IAIRO is building foundational AI capability for India in the public interest Our health programme develops responsible AI systems that support clinicians researchers publichealth institutions and individuals seeking personalized daily guidance As a Software Engineer Intern you will help build data pipelines AIenabled services and lightweight MVPs inspired by AI Hospital Agent Hospital Personal Health Insights Agents Personicle and Personal Care Utility You will work with engineers and domain e…,"Gandhinagar, Gujarat",2026-08-18T07:15:47Z,[]
"Software Engineer, Intern",Stripe,"Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important …","Bangalore, Karnataka",2026-07-12T03:11:31Z,[]
